Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP,13,13/590,100/17483,0.0027943963930276076,100038909/18733/12978/16409/100041146/20304/105855/21825/18726/74748/70789/16190/246256,Gm14548/Pirb/Csf1r/Itgam/Gm15448/Ccl5/Nckap1l/Thbs1/Lilra6/Slamf8/Kynu/Il4ra/Fcgr4,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000024621/ENSMUSG00000030786/ENSMUSG00000074419/ENSMUSG00000035042/ENSMUSG00000022488/ENSMUSG00000040152/ENSMUSG00000030427/ENSMUSG00000053318/ENSMUSG00000026866/ENSMUSG00000030748/ENSMUSG00000059089,C2,CGP
DANG_MYC_TARGETS_UP,15,15/590,129/17483,0.0027943963930276076,20005/268373/110954/18813/19921/22294/19951/19170/22166/19941/12028/69719/18263/20068/26451,Rpl9/Ppia/Rpl10/Pa2g4/Rpl19/Uxt/Rpl32/Psmb1/Txn1/Rpl26/Bax/Cad/Odc1/Rps17/Rpl27a,ENSMUSG00000047215/ENSMUSG00000071866/ENSMUSG00000008682/ENSMUSG00000025364/ENSMUSG00000017404/ENSMUSG00000001134/ENSMUSG00000057841/ENSMUSG00000014769/ENSMUSG00000028367/ENSMUSG00000060938/ENSMUSG00000003873/ENSMUSG00000013629/ENSMUSG00000011179/ENSMUSG00000061787/ENSMUSG00000046364,C2,CGP
TIEN_INTESTINE_PROBIOTICS_24HR_DN,20,20/590,212/17483,0.0030169300341468465,12608/27053/228775/64209/23886/20104/270066/110954/20091/74840/14583/16449/338366/68137/67248/57294/20084/17966/20044/26451,Cebpb/Asns/Trib3/Herpud1/Gdf15/Rps6/Slc35e1/Rpl10/Rps3a1/Manf/Gfpt1/Jag1/Mia3/Kdelr1/Rpl39/Rps27/Rps18/Nbr1/Rps14/Rpl27a,ENSMUSG00000056501/ENSMUSG00000029752/ENSMUSG00000032715/ENSMUSG00000031770/ENSMUSG00000038508/ENSMUSG00000028495/ENSMUSG00000019731/ENSMUSG00000008682/ENSMUSG00000028081/ENSMUSG00000032575/ENSMUSG00000029992/ENSMUSG00000027276/ENSMUSG00000056050/ENSMUSG00000002778/ENSMUSG00000079641/ENSMUSG00000090733/ENSMUSG00000008668/ENSMUSG00000017119/ENSMUSG00000024608/ENSMUSG00000046364,C2,CGP
WU_CELL_MIGRATION,18,18/590,180/17483,0.0032990536120706504,17750/20568/21810/13819/17748/97064/21825/110310/70789/66889/12484/102103/14268/212898/100041194/64292/69550/16449,Mt2/Slpi/Tgfbi/Epas1/Mt1/Wwtr1/Thbs1/Krt7/Kynu/Rnf128/Cd24a/Mtus1/Fn1/Dse/Ahnak2/Ptges/Bst2/Jag1,ENSMUSG00000031762/ENSMUSG00000017002/ENSMUSG00000035493/ENSMUSG00000024140/ENSMUSG00000031765/ENSMUSG00000027803/ENSMUSG00000040152/ENSMUSG00000023039/ENSMUSG00000026866/ENSMUSG00000031438/ENSMUSG00000047139/ENSMUSG00000045636/ENSMUSG00000026193/ENSMUSG00000039497/ENSMUSG00000072812/ENSMUSG00000050737/ENSMUSG00000046718/ENSMUSG00000027276,C2,CGP
TIEN_INTESTINE_PROBIOTICS_6HR_UP,9,9/590,51/17483,0.003473687971847554,20104/12010/268373/20091/67248/57294/20044/20068/26451,Rps6/B2m/Ppia/Rps3a1/Rpl39/Rps27/Rps14/Rps17/Rpl27a,ENSMUSG00000028495/ENSMUSG00000060802/ENSMUSG00000071866/ENSMUSG00000028081/ENSMUSG00000079641/ENSMUSG00000090733/ENSMUSG00000024608/ENSMUSG00000061787/ENSMUSG00000046364,C2,CGP
BRUECKNER_TARGETS_OF_MIRLET7A3_DN,11,11/590,76/17483,0.003473687971847554,17750/14733/17748/239647/14268/171212/64292/225845/27176/15519/13039,Mt2/Gpc1/Mt1/Pced1b/Fn1/Galnt10/Ptges/Plaat3/Rpl7a/Hsp90aa1/Ctsl,ENSMUSG00000031762/ENSMUSG00000034220/ENSMUSG00000031765/ENSMUSG00000044250/ENSMUSG00000026193/ENSMUSG00000020520/ENSMUSG00000050737/ENSMUSG00000060675/ENSMUSG00000062647/ENSMUSG00000021270/ENSMUSG00000021477,C2,CGP
HOLLMANN_APOPTOSIS_VIA_CD40_DN,23,23/590,269/17483,0.003473687971847554,110557/76267/17750/66222/15018/67092/17748/56322/20846/54132/12527/11568/217664/27361/12561/26961/67784/68606/18129/17196/15040/56030/233863,H2-Q6/Fads1/Mt2/Serpinb1a/H2-Q7/Gatm/Mt1/Timm22/Stat1/Pdlim1/Cd9/Aebp1/Mgat2/Msrb1/Cdh4/Rpl8/Plxnd1/Ppm1f/Notch2/Mbp/H2-T23/Tmem131/Gtf3c1,ENSMUSG00000073409/ENSMUSG00000010663/ENSMUSG00000031762/ENSMUSG00000044734/ENSMUSG00000060550/ENSMUSG00000027199/ENSMUSG00000031765/ENSMUSG00000020843/ENSMUSG00000026104/ENSMUSG00000055044/ENSMUSG00000030342/ENSMUSG00000020473/ENSMUSG00000043998/ENSMUSG00000075705/ENSMUSG00000000305/ENSMUSG00000003970/ENSMUSG00000030123/ENSMUSG00000026181/ENSMUSG00000027878/ENSMUSG00000041607/ENSMUSG00000067212/ENSMUSG00000026116/ENSMUSG00000032777,C2,CGP
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP,31,31/590,424/17483,0.0035732417993680505,12654/140792/17132/14457/13038/27053/19883/11658/17748/21825/228775/16000/11816/110310/23886/102103/12527/12925/11568/14268/20510/329251/69550/14583/676527/18627/17909/241633/229877/19941/12028,Chil1/Colec12/Maf/Gas7/Ctsk/Asns/Rora/Alcam/Mt1/Thbs1/Trib3/Igf1/Apoe/Krt7/Gdf15/Mtus1/Cd9/Crip1/Aebp1/Fn1/Slc1a1/Ppp1r12b/Bst2/Gfpt1/Gm12248/Per2/Myo10/Atp8b4/Rap1gds1/Rpl26/Bax,ENSMUSG00000064246/ENSMUSG00000036103/ENSMUSG00000055435/ENSMUSG00000033066/ENSMUSG00000028111/ENSMUSG00000029752/ENSMUSG00000032238/ENSMUSG00000022636/ENSMUSG00000031765/ENSMUSG00000040152/ENSMUSG00000032715/ENSMUSG00000020053/ENSMUSG00000002985/ENSMUSG00000023039/ENSMUSG00000038508/ENSMUSG00000045636/ENSMUSG00000030342/ENSMUSG00000006360/ENSMUSG00000020473/ENSMUSG00000026193/ENSMUSG00000024935/ENSMUSG00000073557/ENSMUSG00000046718/ENSMUSG00000029992/ENSMUSG00000086962/ENSMUSG00000055866/ENSMUSG00000022272/ENSMUSG00000060131/ENSMUSG00000028149/ENSMUSG00000060938/ENSMUSG00000003873,C2,CGP
MULLIGHAN_MLL_SIGNATURE_1_UP,29,29/590,387/17483,0.0038979142049496425,54473/100038909/121021/18733/20725/210992/16004/54610/53614/100041146/215632/14457/223701/18726/20308/140570/192176/66890/56455/108903/27403/114601/18627/109934/22273/241633/66431/54563/100038947,Tollip/Gm14548/Cspg4/Pirb/Serpinb8/Lpcat1/Igf2r/Tbc1d8/Reck/Gm15448/Psd4/Gas7/Mrtfa/Lilra6/Ccl9/Plxnb2/Flna/Lman2/Dynll1/Tbcd/Abca7/Ehbp1l1/Per2/Abr/Uqcrc1/Atp8b4/Oxld1/Nup210/Sirpb1c,ENSMUSG00000025139/ENSMUSG00000074417/ENSMUSG00000032911/ENSMUSG00000058818/ENSMUSG00000026315/ENSMUSG00000021608/ENSMUSG00000023830/ENSMUSG00000003134/ENSMUSG00000028476/ENSMUSG00000074419/ENSMUSG00000026979/ENSMUSG00000033066/ENSMUSG00000042292/ENSMUSG00000030427/ENSMUSG00000019122/ENSMUSG00000036606/ENSMUSG00000031328/ENSMUSG00000021484/ENSMUSG00000009013/ENSMUSG00000039230/ENSMUSG00000035722/ENSMUSG00000024937/ENSMUSG00000055866/ENSMUSG00000017631/ENSMUSG00000025651/ENSMUSG00000060131/ENSMUSG00000039670/ENSMUSG00000030091/ENSMUSG00000074677,C2,CGP
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP,18,18/590,185/17483,0.0039012157842800515,100038909/21778/72333/11554/232801/104759/54725/12709/67092/18636/21825/18726/20846/14255/11565/14268/16168/17069,Gm14548/Tex9/Palld/Adrb1/Lilra5/Pld4/Cadm1/Ckb/Gatm/Cfp/Thbs1/Lilra6/Stat1/Flt3/Adssl1/Fn1/Il15/Ly6e,ENSMUSG00000074417/ENSMUSG00000090626/ENSMUSG00000058056/ENSMUSG00000035283/ENSMUSG00000070873/ENSMUSG00000052160/ENSMUSG00000032076/ENSMUSG00000001270/ENSMUSG00000027199/ENSMUSG00000001128/ENSMUSG00000040152/ENSMUSG00000030427/ENSMUSG00000026104/ENSMUSG00000042817/ENSMUSG00000011148/ENSMUSG00000026193/ENSMUSG00000031712/ENSMUSG00000022587,C2,CGP
VALK_AML_CLUSTER_5,7,7/590,32/17483,0.004544477356815124,100038909/18733/100041146/13823/68659/18726/100038947,Gm14548/Pirb/Gm15448/Epb41l3/Gask1b/Lilra6/Sirpb1c,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000024044/ENSMUSG00000027955/ENSMUSG00000030427/ENSMUSG00000074677,C2,CGP
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP,10,10/590,67/17483,0.004544477356815124,20568/236539/27226/12268/27053/17381/20846/11565/12010/20969,Slpi/Phgdh/Pla2g7/C4b/Asns/Mmp12/Stat1/Adssl1/B2m/Sdc1,ENSMUSG00000017002/ENSMUSG00000053398/ENSMUSG00000023913/ENSMUSG00000073418/ENSMUSG00000029752/ENSMUSG00000049723/ENSMUSG00000026104/ENSMUSG00000011148/ENSMUSG00000060802/ENSMUSG00000020592,C2,CGP
BASSO_HAIRY_CELL_LEUKEMIA_UP,11,11/590,80/17483,0.004544477356815124,18733/53614/100041146/17132/16177/14457/97064/21825/14255/12010/20970,Pirb/Reck/Gm15448/Maf/Il1r1/Gas7/Wwtr1/Thbs1/Flt3/B2m/Sdc3,ENSMUSG00000058818/ENSMUSG00000028476/ENSMUSG00000074419/ENSMUSG00000055435/ENSMUSG00000026072/ENSMUSG00000033066/ENSMUSG00000027803/ENSMUSG00000040152/ENSMUSG00000042817/ENSMUSG00000060802/ENSMUSG00000025743,C2,CGP
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN,14,14/590,123/17483,0.004544477356815124,12654/20568/17132/70564/11816/12484/102103/14276/79362/72054/234577/104099/11717/77044,Chil1/Slpi/Maf/Prxl2a/Apoe/Cd24a/Mtus1/Folr2/Bhlhe41/Cyp4f18/Cpne2/Itga9/Ampd3/Arid2,ENSMUSG00000064246/ENSMUSG00000017002/ENSMUSG00000055435/ENSMUSG00000021792/ENSMUSG00000002985/ENSMUSG00000047139/ENSMUSG00000045636/ENSMUSG00000032725/ENSMUSG00000030256/ENSMUSG00000003484/ENSMUSG00000034361/ENSMUSG00000039115/ENSMUSG00000005686/ENSMUSG00000033237,C2,CGP
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP,16,16/590,156/17483,0.004544477356815124,60504/12273/12654/227288/12608/21810/11303/30805/12709/13819/21825/16790/12527/212898/64292/13039,Il21r/C5ar1/Chil1/Cxcr1/Cebpb/Tgfbi/Abca1/Slc22a4/Ckb/Epas1/Thbs1/Anpep/Cd9/Dse/Ptges/Ctsl,ENSMUSG00000030745/ENSMUSG00000049130/ENSMUSG00000064246/ENSMUSG00000048480/ENSMUSG00000056501/ENSMUSG00000035493/ENSMUSG00000015243/ENSMUSG00000020334/ENSMUSG00000001270/ENSMUSG00000024140/ENSMUSG00000040152/ENSMUSG00000039062/ENSMUSG00000030342/ENSMUSG00000039497/ENSMUSG00000050737/ENSMUSG00000021477,C2,CGP
VERHAAK_AML_WITH_NPM1_MUTATED_UP,18,18/590,188/17483,0.004544477356815124,100038909/18733/12273/332579/80885/16004/232801/100041146/13823/114128/239027/21825/18726/20308/23886/246256/16449/13039,Gm14548/Pirb/C5ar1/Card9/Hcar2/Igf2r/Lilra5/Gm15448/Epb41l3/Laptm4b/Arhgap22/Thbs1/Lilra6/Ccl9/Gdf15/Fcgr4/Jag1/Ctsl,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000049130/ENSMUSG00000026928/ENSMUSG00000045502/ENSMUSG00000023830/ENSMUSG00000070873/ENSMUSG00000074419/ENSMUSG00000024044/ENSMUSG00000022257/ENSMUSG00000063506/ENSMUSG00000040152/ENSMUSG00000030427/ENSMUSG00000019122/ENSMUSG00000038508/ENSMUSG00000059089/ENSMUSG00000027276/ENSMUSG00000021477,C2,CGP
LIAN_LIPA_TARGETS_6M,11,11/590,83/17483,0.005982893477879343,18733/11501/232801/100041146/18173/27226/18636/17381/11810/23886/246256,Pirb/Adam8/Lilra5/Gm15448/Slc11a1/Pla2g7/Cfp/Mmp12/Apobec1/Gdf15/Fcgr4,ENSMUSG00000058818/ENSMUSG00000025473/ENSMUSG00000070873/ENSMUSG00000074419/ENSMUSG00000026177/ENSMUSG00000023913/ENSMUSG00000001128/ENSMUSG00000049723/ENSMUSG00000040613/ENSMUSG00000038508/ENSMUSG00000059089,C2,CGP
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP,9,9/590,57/17483,0.006143694313929319,20354/104759/66222/18636/15000/13135/14013/30957/14248,Sema4d/Pld4/Serpinb1a/Cfp/H2-DMb2/Dad1/Mecom/Mapk8ip3/Flii,ENSMUSG00000021451/ENSMUSG00000052160/ENSMUSG00000044734/ENSMUSG00000001128/ENSMUSG00000037548/ENSMUSG00000022174/ENSMUSG00000027684/ENSMUSG00000024163/ENSMUSG00000002812,C2,CGP
VANASSE_BCL2_TARGETS_DN,9,9/590,57/17483,0.006143694313929319,232801/171166/27226/18636/20430/68732/12527/14268/17250,Lilra5/Mcoln3/Pla2g7/Cfp/Cyfip1/Carmil1/Cd9/Fn1/Abcc1,ENSMUSG00000070873/ENSMUSG00000036853/ENSMUSG00000023913/ENSMUSG00000001128/ENSMUSG00000030447/ENSMUSG00000021338/ENSMUSG00000030342/ENSMUSG00000026193/ENSMUSG00000023088,C2,CGP
NADLER_OBESITY_UP,9,9/590,58/17483,0.006897227885792819,12978/17750/12709/13038/20308/192176/21894/13135/76933,Csf1r/Mt2/Ckb/Ctsk/Ccl9/Flna/Tln1/Dad1/Ifi27l2a,ENSMUSG00000024621/ENSMUSG00000031762/ENSMUSG00000001270/ENSMUSG00000028111/ENSMUSG00000019122/ENSMUSG00000031328/ENSMUSG00000028465/ENSMUSG00000022174/ENSMUSG00000079017,C2,CGP
RUTELLA_RESPONSE_TO_HGF_DN,20,20/590,234/17483,0.007167425596379728,100038909/18733/12273/11501/100041146/98496/18751/11492/18636/18726/64209/229473/12925/233328/26936/66411/68606/21888/18129/15040,Gm14548/Pirb/C5ar1/Adam8/Gm15448/Pid1/Prkcb/Adam19/Cfp/Lilra6/Herpud1/Tmem131l/Crip1/Lrrk1/Mprip/Tbcb/Ppm1f/Tle4/Notch2/H2-T23,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000049130/ENSMUSG00000025473/ENSMUSG00000074419/ENSMUSG00000045658/ENSMUSG00000052889/ENSMUSG00000011256/ENSMUSG00000001128/ENSMUSG00000030427/ENSMUSG00000031770/ENSMUSG00000033767/ENSMUSG00000006360/ENSMUSG00000015133/ENSMUSG00000005417/ENSMUSG00000006095/ENSMUSG00000026181/ENSMUSG00000024642/ENSMUSG00000027878/ENSMUSG00000067212,C2,CGP
ROSS_LEUKEMIA_WITH_MLL_FUSIONS,11,11/590,86/17483,0.00737798507161982,100038909/121021/210992/72333/20304/19126/18726/20308/13135/27403/17886,Gm14548/Cspg4/Lpcat1/Palld/Ccl5/Prom1/Lilra6/Ccl9/Dad1/Abca7/Myh9,ENSMUSG00000074417/ENSMUSG00000032911/ENSMUSG00000021608/ENSMUSG00000058056/ENSMUSG00000035042/ENSMUSG00000029086/ENSMUSG00000030427/ENSMUSG00000019122/ENSMUSG00000022174/ENSMUSG00000035722/ENSMUSG00000022443,C2,CGP
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_UP,14,14/590,132/17483,0.007458797946863851,110557/17750/121022/66222/22151/17132/15018/17748/70789/277360/14013/16449/15040/18263,H2-Q6/Mt2/Mrps6/Serpinb1a/Tubb2a/Maf/H2-Q7/Mt1/Kynu/Prex1/Mecom/Jag1/H2-T23/Odc1,ENSMUSG00000073409/ENSMUSG00000031762/ENSMUSG00000039680/ENSMUSG00000044734/ENSMUSG00000058672/ENSMUSG00000055435/ENSMUSG00000060550/ENSMUSG00000031765/ENSMUSG00000026866/ENSMUSG00000039621/ENSMUSG00000027684/ENSMUSG00000027276/ENSMUSG00000067212/ENSMUSG00000011179,C2,CGP
MARKEY_RB1_CHRONIC_LOF_DN,13,13/590,117/17483,0.007695937814215084,12978/11501/232801/54725/19200/27226/18636/17381/192187/20308/11816/27361/14470,Csf1r/Adam8/Lilra5/Cadm1/Pstpip1/Pla2g7/Cfp/Mmp12/Stab1/Ccl9/Apoe/Msrb1/Rabac1,ENSMUSG00000024621/ENSMUSG00000025473/ENSMUSG00000070873/ENSMUSG00000032076/ENSMUSG00000032322/ENSMUSG00000023913/ENSMUSG00000001128/ENSMUSG00000049723/ENSMUSG00000042286/ENSMUSG00000019122/ENSMUSG00000002985/ENSMUSG00000075705/ENSMUSG00000003380,C2,CGP
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN,30,30/590,432/17483,0.007695937814215084,100038909/18733/210992/12774/21810/100041146/52855/17132/29806/14457/67092/66871/13038/18726/192187/15000/69993/246177/20020/270066/19087/246256/18129/75687/17196/13039/76933/28006/17069/19359,Gm14548/Pirb/Lpcat1/Ccr5/Tgfbi/Gm15448/Lair1/Maf/Limd1/Gas7/Gatm/Cpne8/Ctsk/Lilra6/Stab1/H2-DMb2/Chn2/Myo1g/Polr2a/Slc35e1/Prkar2a/Fcgr4/Notch2/Ripor1/Mbp/Ctsl/Ifi27l2a/Washc2/Ly6e/Rad23b,ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000021608/ENSMUSG00000079227/ENSMUSG00000035493/ENSMUSG00000074419/ENSMUSG00000055541/ENSMUSG00000055435/ENSMUSG00000025239/ENSMUSG00000033066/ENSMUSG00000027199/ENSMUSG00000052560/ENSMUSG00000028111/ENSMUSG00000030427/ENSMUSG00000042286/ENSMUSG00000037548/ENSMUSG00000004633/ENSMUSG00000020437/ENSMUSG00000005198/ENSMUSG00000019731/ENSMUSG00000032601/ENSMUSG00000059089/ENSMUSG00000027878/ENSMUSG00000038604/ENSMUSG00000041607/ENSMUSG00000021477/ENSMUSG00000079017/ENSMUSG00000024104/ENSMUSG00000022587/ENSMUSG00000028426,C2,CGP
KYNG_WERNER_SYNDROM_AND_NORMAL_AGING_DN,17,17/590,186/17483,0.009081578347309978,12654/16004/360013/97064/20430/74748/217664/20020/13135/107686/23802/20933/109934/16332/338366/56417/338467,Chil1/Igf2r/Myo18a/Wwtr1/Cyfip1/Slamf8/Mgat2/Polr2a/Dad1/Snrpd2/Amfr/Med22/Abr/Inppl1/Mia3/Adar/Morc3,ENSMUSG00000064246/ENSMUSG00000023830/ENSMUSG00000000631/ENSMUSG00000027803/ENSMUSG00000030447/ENSMUSG00000053318/ENSMUSG00000043998/ENSMUSG00000005198/ENSMUSG00000022174/ENSMUSG00000040824/ENSMUSG00000031751/ENSMUSG00000015776/ENSMUSG00000017631/ENSMUSG00000032737/ENSMUSG00000056050/ENSMUSG00000027951/ENSMUSG00000039456,C2,CGP
GNATENKO_PLATELET_SIGNATURE,8,8/590,49/17483,0.009383427368568582,20304/15018/67865/192176/21894/12010/56455/15040,Ccl5/H2-Q7/Rgs10/Flna/Tln1/B2m/Dynll1/H2-T23,ENSMUSG00000035042/ENSMUSG00000060550/ENSMUSG00000030844/ENSMUSG00000031328/ENSMUSG00000028465/ENSMUSG00000060802/ENSMUSG00000009013/ENSMUSG00000067212,C2,CGP
GERHOLD_ADIPOGENESIS_DN,9,9/590,62/17483,0.009383427368568582,17387/16177/14457/21825/12527/14268/16190/20969/12028,Mmp14/Il1r1/Gas7/Thbs1/Cd9/Fn1/Il4ra/Sdc1/Bax,ENSMUSG00000000957/ENSMUSG00000026072/ENSMUSG00000033066/ENSMUSG00000040152/ENSMUSG00000030342/ENSMUSG00000026193/ENSMUSG00000030748/ENSMUSG00000020592/ENSMUSG00000003873,C2,CGP
LIU_VAV3_PROSTATE_CARCINOGENESIS_UP,12,12/590,105/17483,0.009383427368568582,18733/100041146/66222/27226/13038/12268/16000/20846/110310/14268/225845/17196,Pirb/Gm15448/Serpinb1a/Pla2g7/Ctsk/C4b/Igf1/Stat1/Krt7/Fn1/Plaat3/Mbp,ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000044734/ENSMUSG00000023913/ENSMUSG00000028111/ENSMUSG00000073418/ENSMUSG00000020053/ENSMUSG00000026104/ENSMUSG00000023039/ENSMUSG00000026193/ENSMUSG00000060675/ENSMUSG00000041607,C2,CGP
JISON_SICKLE_CELL_DISEASE_UP,17,17/590,188/17483,0.009383427368568582,100038909/30805/22151/15018/16419/18726/20846/70789/12527/14268/16168/218454/69550/16452/13039/22166/17069,Gm14548/Slc22a4/Tubb2a/H2-Q7/Itgb5/Lilra6/Stat1/Kynu/Cd9/Fn1/Il15/Lhfpl2/Bst2/Jak2/Ctsl/Txn1/Ly6e,ENSMUSG00000074417/ENSMUSG00000020334/ENSMUSG00000058672/ENSMUSG00000060550/ENSMUSG00000022817/ENSMUSG00000030427/ENSMUSG00000026104/ENSMUSG00000026866/ENSMUSG00000030342/ENSMUSG00000026193/ENSMUSG00000031712/ENSMUSG00000045312/ENSMUSG00000046718/ENSMUSG00000024789/ENSMUSG00000021477/ENSMUSG00000028367/ENSMUSG00000022587,C2,CGP
MILI_PSEUDOPODIA_CHEMOTAXIS_DN,29,29/590,419/17483,0.009383427368568582,121021/17387/27226/18186/16534/19262/21825/15000/23943/12527/11305/140570/14268/21894/216161/13367/228136/27403/218454/67974/104401/64652/18975/30957/17250/16548/225049/17069/15194,Cspg4/Mmp14/Pla2g7/Nrp1/Kcnn4/Ptpra/Thbs1/H2-DMb2/Esyt1/Cd9/Abca2/Plxnb2/Fn1/Tln1/Sbno2/Diaph1/Zdhhc5/Abca7/Lhfpl2/Ccny/Pcnx3/Nisch/Polg/Mapk8ip3/Abcc1/Khk/Ttc7/Ly6e/Htt,ENSMUSG00000032911/ENSMUSG00000000957/ENSMUSG00000023913/ENSMUSG00000025810/ENSMUSG00000054342/ENSMUSG00000027303/ENSMUSG00000040152/ENSMUSG00000037548/ENSMUSG00000025366/ENSMUSG00000030342/ENSMUSG00000026944/ENSMUSG00000036606/ENSMUSG00000026193/ENSMUSG00000028465/ENSMUSG00000035673/ENSMUSG00000024456/ENSMUSG00000034075/ENSMUSG00000035722/ENSMUSG00000045312/ENSMUSG00000024286/ENSMUSG00000054874/ENSMUSG00000021910/ENSMUSG00000039176/ENSMUSG00000024163/ENSMUSG00000023088/ENSMUSG00000029162/ENSMUSG00000036918/ENSMUSG00000022587/ENSMUSG00000029104,C2,CGP
HOEBEKE_LYMPHOID_STEM_CELL_UP,11,11/590,91/17483,0.010073233013270925,72333/71720/195046/319939/11303/18751/22032/17938/108903/54387/67784,Palld/Osbpl3/Nlrp1a/Tns3/Abca1/Prkcb/Traf4/Naca/Tbcd/Mcm3ap/Plxnd1,ENSMUSG00000058056/ENSMUSG00000029822/ENSMUSG00000069830/ENSMUSG00000020422/ENSMUSG00000015243/ENSMUSG00000052889/ENSMUSG00000017386/ENSMUSG00000061315/ENSMUSG00000039230/ENSMUSG00000001150/ENSMUSG00000030123,C2,CGP
MAHADEVAN_IMATINIB_RESISTANCE_UP,5,5/590,18/17483,0.010485300268944491,70789/12484/20510/57266/17909,Kynu/Cd24a/Slc1a1/Cxcl14/Myo10,ENSMUSG00000026866/ENSMUSG00000047139/ENSMUSG00000024935/ENSMUSG00000021508/ENSMUSG00000022272,C2,CGP
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN,11,11/590,92/17483,0.0107167350248444,170835/319939/16177/13819/11658/68910/70789/93694/100041194/171212/98402,Inpp5j/Tns3/Il1r1/Epas1/Alcam/Zfp467/Kynu/Clec2d/Ahnak2/Galnt10/Sh3bp4,ENSMUSG00000034570/ENSMUSG00000020422/ENSMUSG00000026072/ENSMUSG00000024140/ENSMUSG00000022636/ENSMUSG00000068551/ENSMUSG00000026866/ENSMUSG00000030157/ENSMUSG00000072812/ENSMUSG00000020520/ENSMUSG00000036206,C2,CGP
TARTE_PLASMA_CELL_VS_PLASMABLAST_UP,30,30/590,446/17483,0.011059966313563232,110557/217944/11501/14733/20910/15018/12268/17748/17913/20430/64209/11816/12484/12527/11568/12010/16190/18126/246256/20969/68606/27176/338366/15040/13039/67248/16785/20084/20044/241226,H2-Q6/Rapgef5/Adam8/Gpc1/Stxbp1/H2-Q7/C4b/Mt1/Myo1c/Cyfip1/Herpud1/Apoe/Cd24a/Cd9/Aebp1/B2m/Il4ra/Nos2/Fcgr4/Sdc1/Ppm1f/Rpl7a/Mia3/H2-T23/Ctsl/Rpl39/Rpsa/Rps18/Rps14/Itga8,ENSMUSG00000073409/ENSMUSG00000041992/ENSMUSG00000025473/ENSMUSG00000034220/ENSMUSG00000026797/ENSMUSG00000060550/ENSMUSG00000073418/ENSMUSG00000031765/ENSMUSG00000017774/ENSMUSG00000030447/ENSMUSG00000031770/ENSMUSG00000002985/ENSMUSG00000047139/ENSMUSG00000030342/ENSMUSG00000020473/ENSMUSG00000060802/ENSMUSG00000030748/ENSMUSG00000020826/ENSMUSG00000059089/ENSMUSG00000020592/ENSMUSG00000026181/ENSMUSG00000062647/ENSMUSG00000056050/ENSMUSG00000067212/ENSMUSG00000021477/ENSMUSG00000079641/ENSMUSG00000032518/ENSMUSG00000008668/ENSMUSG00000024608/ENSMUSG00000026768,C2,CGP
MULLIGHAN_MLL_SIGNATURE_2_UP,29,29/590,427/17483,0.011667661335046873,54473/100038909/18733/16004/53614/319939/100041146/52855/215632/235504/14457/24115/18726/20308/70789/140570/192176/27361/108903/27403/114601/109934/22273/241633/54519/13039/54563/100038947/27368,Tollip/Gm14548/Pirb/Igf2r/Reck/Tns3/Gm15448/Lair1/Psd4/Slc17a5/Gas7/Best1/Lilra6/Ccl9/Kynu/Plxnb2/Flna/Msrb1/Tbcd/Abca7/Ehbp1l1/Abr/Uqcrc1/Atp8b4/Apbb1ip/Ctsl/Nup210/Sirpb1c/Tbl2,ENSMUSG00000025139/ENSMUSG00000074417/ENSMUSG00000058818/ENSMUSG00000023830/ENSMUSG00000028476/ENSMUSG00000020422/ENSMUSG00000074419/ENSMUSG00000055541/ENSMUSG00000026979/ENSMUSG00000049624/ENSMUSG00000033066/ENSMUSG00000037418/ENSMUSG00000030427/ENSMUSG00000019122/ENSMUSG00000026866/ENSMUSG00000036606/ENSMUSG00000031328/ENSMUSG00000075705/ENSMUSG00000039230/ENSMUSG00000035722/ENSMUSG00000024937/ENSMUSG00000017631/ENSMUSG00000025651/ENSMUSG00000060131/ENSMUSG00000026786/ENSMUSG00000021477/ENSMUSG00000030091/ENSMUSG00000074677/ENSMUSG00000005374,C2,CGP
