Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
GSE17580_TREG_VS_TEFF_DN,13,13/590,199/17849,0.0852713659218324,54473/52855/268297/30805/13819/67299/76969/54132/228136/66508/77044/99138/17909,Tollip/Lair1/Scml4/Slc22a4/Epas1/Dock7/Chst1/Pdlim1/Zdhhc5/Lamtor1/Arid2/Stard7/Myo10,ENSMUSG00000025139/ENSMUSG00000055541/ENSMUSG00000044770/ENSMUSG00000020334/ENSMUSG00000024140/ENSMUSG00000028556/ENSMUSG00000027221/ENSMUSG00000055044/ENSMUSG00000034075/ENSMUSG00000030842/ENSMUSG00000033237/ENSMUSG00000027367/ENSMUSG00000022272,C7
GSE17721_0.5H_VS_8H_LPS_BMDC_DN,13,13/590,199/17849,0.0852713659218324,54473/20568/15567/20910/17387/22032/19262/74748/12010/12874/69550/73078/54519,Tollip/Slpi/Slc6a4/Stxbp1/Mmp14/Traf4/Ptpra/Slamf8/B2m/Cpd/Bst2/Pmpcb/Apbb1ip,ENSMUSG00000025139/ENSMUSG00000017002/ENSMUSG00000020838/ENSMUSG00000026797/ENSMUSG00000000957/ENSMUSG00000017386/ENSMUSG00000027303/ENSMUSG00000053318/ENSMUSG00000060802/ENSMUSG00000020841/ENSMUSG00000046718/ENSMUSG00000029017/ENSMUSG00000026786,C7
GSE17721_4H_VS_24H_POLYIC_BMDC_DN,13,13/590,199/17849,0.0852713659218324,14744/16790/233276/269252/11717/64292/223753/54387/225845/98402/231889/17196/19766,Gpr65/Anpep/Tubgcp5/Gtf3c4/Ampd3/Ptges/Cerk/Mcm3ap/Plaat3/Sh3bp4/Bud31/Mbp/Ripk1,ENSMUSG00000021886/ENSMUSG00000039062/ENSMUSG00000033790/ENSMUSG00000035666/ENSMUSG00000005686/ENSMUSG00000050737/ENSMUSG00000035891/ENSMUSG00000001150/ENSMUSG00000060675/ENSMUSG00000036206/ENSMUSG00000038722/ENSMUSG00000041607/ENSMUSG00000021408,C7
GSE17721_CTRL_VS_GARDIQUIMOD_1H_BMDC_UP,13,13/590,199/17849,0.0852713659218324,16847/16534/13548/68910/234577/11305/21894/19271/226252/22294/20933/77853/66431,Lepr/Kcnn4/Dyrk1a/Zfp467/Cpne2/Abca2/Tln1/Ptprj/Fam160b1/Uxt/Med22/Msl2/Oxld1,ENSMUSG00000057722/ENSMUSG00000054342/ENSMUSG00000022897/ENSMUSG00000068551/ENSMUSG00000034361/ENSMUSG00000026944/ENSMUSG00000028465/ENSMUSG00000025314/ENSMUSG00000033478/ENSMUSG00000001134/ENSMUSG00000015776/ENSMUSG00000066415/ENSMUSG00000039670,C7
GSE17721_LPS_VS_POLYIC_24H_BMDC_UP,13,13/590,199/17849,0.0852713659218324,15925/246782/30805/11658/17748/67299/67053/68732/11428/66401/67890/18627/54709,Ide/Atpaf2/Slc22a4/Alcam/Mt1/Dock7/Rpp14/Carmil1/Aco1/Nudt2/Ufm1/Per2/Eif3i,ENSMUSG00000056999/ENSMUSG00000042709/ENSMUSG00000020334/ENSMUSG00000022636/ENSMUSG00000031765/ENSMUSG00000028556/ENSMUSG00000023156/ENSMUSG00000021338/ENSMUSG00000028405/ENSMUSG00000028443/ENSMUSG00000027746/ENSMUSG00000055866/ENSMUSG00000028798,C7
GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_DN,13,13/590,199/17849,0.0852713659218324,16832/236539/30805/23921/18186/16162/64209/232941/102103/244668/27361/241633/20740,Ldhb/Phgdh/Slc22a4/Sh2b2/Nrp1/Il12rb2/Herpud1/Ppm1n/Mtus1/Sipa1l2/Msrb1/Atp8b4/Sptan1,ENSMUSG00000030246/ENSMUSG00000053398/ENSMUSG00000020334/ENSMUSG00000005057/ENSMUSG00000025810/ENSMUSG00000018341/ENSMUSG00000031770/ENSMUSG00000030402/ENSMUSG00000045636/ENSMUSG00000001995/ENSMUSG00000075705/ENSMUSG00000060131/ENSMUSG00000057738,C7
GSE22140_GERMFREE_VS_SPF_ARTHRITIC_MOUSE_CD4_TCELL_DN,13,13/590,199/17849,0.0852713659218324,12654/229521/20304/15018/23921/19262/223701/71085/235567/20020/69550/16452/15040,Chil1/Syt11/Ccl5/H2-Q7/Sh2b2/Ptpra/Mrtfa/Arhgap19/Dnajc13/Polr2a/Bst2/Jak2/H2-T23,ENSMUSG00000064246/ENSMUSG00000068923/ENSMUSG00000035042/ENSMUSG00000060550/ENSMUSG00000005057/ENSMUSG00000027303/ENSMUSG00000042292/ENSMUSG00000025154/ENSMUSG00000032560/ENSMUSG00000005198/ENSMUSG00000046718/ENSMUSG00000024789/ENSMUSG00000067212,C7
GSE22140_GERMFREE_VS_SPF_ARTHRITIC_MOUSE_CD4_TCELL_UP,13,13/590,199/17849,0.0852713659218324,227699/50934/13038/16419/18186/24115/21825/16000/14268/28126/12334/64652/13039,Nup188/Slc7a8/Ctsk/Itgb5/Nrp1/Best1/Thbs1/Igf1/Fn1/Nop16/Capn2/Nisch/Ctsl,ENSMUSG00000052533/ENSMUSG00000022180/ENSMUSG00000028111/ENSMUSG00000022817/ENSMUSG00000025810/ENSMUSG00000037418/ENSMUSG00000040152/ENSMUSG00000020053/ENSMUSG00000026193/ENSMUSG00000025869/ENSMUSG00000026509/ENSMUSG00000021910/ENSMUSG00000021477,C7
GSE24634_NAIVE_CD4_TCELL_VS_DAY10_IL4_CONV_TREG_DN,13,13/590,199/17849,0.0852713659218324,12481/21810/114128/66222/52123/15018/71085/12010/225845/18813/99138/229877/27368,Cd2/Tgfbi/Laptm4b/Serpinb1a/Agpat5/H2-Q7/Arhgap19/B2m/Plaat3/Pa2g4/Stard7/Rap1gds1/Tbl2,ENSMUSG00000027863/ENSMUSG00000035493/ENSMUSG00000022257/ENSMUSG00000044734/ENSMUSG00000031467/ENSMUSG00000060550/ENSMUSG00000025154/ENSMUSG00000060802/ENSMUSG00000060675/ENSMUSG00000025364/ENSMUSG00000027367/ENSMUSG00000028149/ENSMUSG00000005374,C7
GSE26030_UNSTIM_VS_RESTIM_TH17_DAY15_POST_POLARIZATION_DN,13,13/590,199/17849,0.0852713659218324,50934/21887/329739/67974/23807/105722/15040/19303/56417/19766/16785/216440/27368,Slc7a8/Tle3/Fam102b/Ccny/Arih2/Ano6/H2-T23/Pxn/Adar/Ripk1/Rpsa/Os9/Tbl2,ENSMUSG00000022180/ENSMUSG00000032280/ENSMUSG00000040339/ENSMUSG00000024286/ENSMUSG00000064145/ENSMUSG00000064210/ENSMUSG00000067212/ENSMUSG00000029528/ENSMUSG00000027951/ENSMUSG00000021408/ENSMUSG00000032518/ENSMUSG00000040462/ENSMUSG00000005374,C7
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_DN,13,13/590,199/17849,0.0852713659218324,12978/210992/11501/12774/67865/16790/16330/30794/12925/54616/21871/11717/68507,Csf1r/Lpcat1/Adam8/Ccr5/Rgs10/Anpep/Inpp5b/Pdlim4/Crip1/Extl3/Atp6v0a2/Ampd3/Ppfia4,ENSMUSG00000024621/ENSMUSG00000021608/ENSMUSG00000025473/ENSMUSG00000079227/ENSMUSG00000030844/ENSMUSG00000039062/ENSMUSG00000028894/ENSMUSG00000020388/ENSMUSG00000006360/ENSMUSG00000021978/ENSMUSG00000038023/ENSMUSG00000005686/ENSMUSG00000026458,C7
GSE28237_EARLY_VS_LATE_GC_BCELL_DN,13,13/590,199/17849,0.0852713659218324,12978/29806/277360/246177/17886/66508/494504/109934/338366/67248/57294/28006/14248,Csf1r/Limd1/Prex1/Myo1g/Myh9/Lamtor1/Apcdd1/Abr/Mia3/Rpl39/Rps27/Washc2/Flii,ENSMUSG00000024621/ENSMUSG00000025239/ENSMUSG00000039621/ENSMUSG00000020437/ENSMUSG00000022443/ENSMUSG00000030842/ENSMUSG00000071847/ENSMUSG00000017631/ENSMUSG00000056050/ENSMUSG00000079641/ENSMUSG00000090733/ENSMUSG00000024104/ENSMUSG00000002812,C7
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_UP,13,13/590,199/17849,0.0852713659218324,17750/12774/227327/16004/30963/17748/16190/64292/15566/20193/13039/20641/69833,Mt2/Ccr5/B3gnt7/Igf2r/Hacd1/Mt1/Il4ra/Ptges/Htr7/S100a1/Ctsl/Snrpd1/Polr2f,ENSMUSG00000031762/ENSMUSG00000079227/ENSMUSG00000079445/ENSMUSG00000023830/ENSMUSG00000063275/ENSMUSG00000031765/ENSMUSG00000030748/ENSMUSG00000050737/ENSMUSG00000024798/ENSMUSG00000044080/ENSMUSG00000021477/ENSMUSG00000002477/ENSMUSG00000033020,C7
GSE32533_MIR17_KO_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN,13,13/590,199/17849,0.0852713659218324,246782/20354/98496/320158/66102/217119/11810/66049/69721/19271/19267/98970/225049,Atpaf2/Sema4d/Pid1/Zmat4/Cxcl16/Xylt2/Apobec1/Rogdi/Nkiras1/Ptprj/Ptpre/Fibcd1/Ttc7,ENSMUSG00000042709/ENSMUSG00000021451/ENSMUSG00000045658/ENSMUSG00000037492/ENSMUSG00000018920/ENSMUSG00000020868/ENSMUSG00000040613/ENSMUSG00000022540/ENSMUSG00000021772/ENSMUSG00000025314/ENSMUSG00000041836/ENSMUSG00000026841/ENSMUSG00000036918,C7
GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP,13,13/590,199/17849,0.0852713659218324,229521/12481/236539/228775/71085/246177/66154/71833/16452/217684/22166/20641/76933,Syt11/Cd2/Phgdh/Trib3/Arhgap19/Myo1g/Tmem14c/Dcaf7/Jak2/Susd6/Txn1/Snrpd1/Ifi27l2a,ENSMUSG00000068923/ENSMUSG00000027863/ENSMUSG00000053398/ENSMUSG00000032715/ENSMUSG00000025154/ENSMUSG00000020437/ENSMUSG00000021361/ENSMUSG00000049354/ENSMUSG00000024789/ENSMUSG00000021133/ENSMUSG00000028367/ENSMUSG00000002477/ENSMUSG00000079017,C7
GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_DN,13,13/590,199/17849,0.0852713659218324,102657/11658/67299/223701/14255/212503/17776/212898/107686/68606/50783/20084/19941,Cd276/Alcam/Dock7/Mrtfa/Flt3/Paox/Mast2/Dse/Snrpd2/Ppm1f/Lsm4/Rps18/Rpl26,ENSMUSG00000035914/ENSMUSG00000022636/ENSMUSG00000028556/ENSMUSG00000042292/ENSMUSG00000042817/ENSMUSG00000025464/ENSMUSG00000003810/ENSMUSG00000039497/ENSMUSG00000040824/ENSMUSG00000026181/ENSMUSG00000031848/ENSMUSG00000008668/ENSMUSG00000060938,C7
GSE34515_CD16_NEG_MONOCYTE_VS_DC_DN,13,13/590,199/17849,0.0852713659218324,20725/24108/78323/66610/52855/20910/59005/230233/13001/68606/19921/231889/56030,Serpinb8/Ubd/Fam219b/Abi3/Lair1/Stxbp1/Trappc2l/Elp1/Csnk2b/Ppm1f/Rpl19/Bud31/Tmem131,ENSMUSG00000026315/ENSMUSG00000035186/ENSMUSG00000032305/ENSMUSG00000018381/ENSMUSG00000055541/ENSMUSG00000026797/ENSMUSG00000015013/ENSMUSG00000028431/ENSMUSG00000024387/ENSMUSG00000026181/ENSMUSG00000017404/ENSMUSG00000038722/ENSMUSG00000026116,C7
GSE36891_UNSTIM_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,13,13/590,199/17849,0.0852713659218324,17750/114128/22151/13819/13548/67510/228775/64209/54616/234776/16190/329251/19766,Mt2/Laptm4b/Tubb2a/Epas1/Dyrk1a/Tvp23b/Trib3/Herpud1/Extl3/Atmin/Il4ra/Ppp1r12b/Ripk1,ENSMUSG00000031762/ENSMUSG00000022257/ENSMUSG00000058672/ENSMUSG00000024140/ENSMUSG00000022897/ENSMUSG00000014177/ENSMUSG00000032715/ENSMUSG00000031770/ENSMUSG00000021978/ENSMUSG00000047388/ENSMUSG00000030748/ENSMUSG00000073557/ENSMUSG00000021408,C7
GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_WT_LIVER_DN,13,13/590,199/17849,0.0852713659218324,11303/268297/17132/320487/17913/11789/192176/236920/246177/230673/16190/100855/16897,Abca1/Scml4/Maf/Heatr5a/Myo1c/Apc/Flna/Stard8/Myo1g/Ipo13/Il4ra/Tbc1d14/Llgl1,ENSMUSG00000015243/ENSMUSG00000044770/ENSMUSG00000055435/ENSMUSG00000035181/ENSMUSG00000017774/ENSMUSG00000005871/ENSMUSG00000031328/ENSMUSG00000031216/ENSMUSG00000020437/ENSMUSG00000033365/ENSMUSG00000030748/ENSMUSG00000029192/ENSMUSG00000020536,C7
GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TCONV_DN,13,13/590,199/17849,0.0852713659218324,105522/52123/666468/13135/11428/218454/66865/223753/73078/14155/56386/20641/69833,Ankrd28/Agpat5/Atg4a/Dad1/Aco1/Lhfpl2/Pmpca/Cerk/Pmpcb/Fem1b/B4galt6/Snrpd1/Polr2f,ENSMUSG00000014496/ENSMUSG00000031467/ENSMUSG00000079418/ENSMUSG00000022174/ENSMUSG00000028405/ENSMUSG00000045312/ENSMUSG00000026926/ENSMUSG00000035891/ENSMUSG00000029017/ENSMUSG00000032244/ENSMUSG00000056124/ENSMUSG00000002477/ENSMUSG00000033020,C7
GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN,13,13/590,199/17849,0.0852713659218324,56524/236539/80280/16534/17158/66890/26409/13135/20969/69550/225845/78658/27368,Mpp6/Phgdh/Cdk5rap3/Kcnn4/Man2a1/Lman2/Map3k7/Dad1/Sdc1/Bst2/Plaat3/Ncapd3/Tbl2,ENSMUSG00000038388/ENSMUSG00000053398/ENSMUSG00000018669/ENSMUSG00000054342/ENSMUSG00000024085/ENSMUSG00000021484/ENSMUSG00000028284/ENSMUSG00000022174/ENSMUSG00000020592/ENSMUSG00000046718/ENSMUSG00000060675/ENSMUSG00000035024/ENSMUSG00000005374,C7
GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_DN,13,13/590,199/17849,0.0852713659218324,17750/17427/217721/192187/21887/140570/27361/50770/20848/15040/66462/215690/16785,Mt2/Mns1/Flvcr2/Stab1/Tle3/Plxnb2/Msrb1/Atp11a/Stat3/H2-T23/Rex1bd/Nav1/Rpsa,ENSMUSG00000031762/ENSMUSG00000032221/ENSMUSG00000034258/ENSMUSG00000042286/ENSMUSG00000032280/ENSMUSG00000036606/ENSMUSG00000075705/ENSMUSG00000031441/ENSMUSG00000004040/ENSMUSG00000067212/ENSMUSG00000058833/ENSMUSG00000009418/ENSMUSG00000032518,C7
GSE45365_NK_CELL_VS_BCELL_UP,13,13/590,199/17849,0.0852713659218324,66871/97064/21825/108954/228136/11717/64292/12334/74840/15519/14155/16452/69719,Cpne8/Wwtr1/Thbs1/Ppp1r15b/Zdhhc5/Ampd3/Ptges/Capn2/Manf/Hsp90aa1/Fem1b/Jak2/Cad,ENSMUSG00000052560/ENSMUSG00000027803/ENSMUSG00000040152/ENSMUSG00000046062/ENSMUSG00000034075/ENSMUSG00000005686/ENSMUSG00000050737/ENSMUSG00000026509/ENSMUSG00000032575/ENSMUSG00000021270/ENSMUSG00000032244/ENSMUSG00000024789/ENSMUSG00000013629,C7
GSE45365_NK_CELL_VS_CD8A_DC_UP,13,13/590,199/17849,0.0852713659218324,20568/71279/19262/17381/192187/23943/12010/217664/56455/74840/17069/12028/69719,Slpi/Slc29a3/Ptpra/Mmp12/Stab1/Esyt1/B2m/Mgat2/Dynll1/Manf/Ly6e/Bax/Cad,ENSMUSG00000017002/ENSMUSG00000020100/ENSMUSG00000027303/ENSMUSG00000049723/ENSMUSG00000042286/ENSMUSG00000025366/ENSMUSG00000060802/ENSMUSG00000043998/ENSMUSG00000009013/ENSMUSG00000032575/ENSMUSG00000022587/ENSMUSG00000003873/ENSMUSG00000013629,C7
GSE5503_LIVER_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_DN,13,13/590,199/17849,0.0852713659218324,58205/78323/18173/215632/268297/66889/17158/140630/226252/19172/19766/67248/69802,Pdcd1lg2/Fam219b/Slc11a1/Psd4/Scml4/Rnf128/Man2a1/Ube4a/Fam160b1/Psmb4/Ripk1/Rpl39/Cox11,ENSMUSG00000016498/ENSMUSG00000032305/ENSMUSG00000026177/ENSMUSG00000026979/ENSMUSG00000044770/ENSMUSG00000031438/ENSMUSG00000024085/ENSMUSG00000059890/ENSMUSG00000033478/ENSMUSG00000005779/ENSMUSG00000021408/ENSMUSG00000079641/ENSMUSG00000020544,C7
GSE557_WT_VS_CIITA_KO_DC_DN,13,13/590,199/17849,0.0852713659218324,60504/21778/229521/20568/11303/27053/73246/54132/192176/246177/13135/100855/13039,Il21r/Tex9/Syt11/Slpi/Abca1/Asns/Rassf6/Pdlim1/Flna/Myo1g/Dad1/Tbc1d14/Ctsl,ENSMUSG00000030745/ENSMUSG00000090626/ENSMUSG00000068923/ENSMUSG00000017002/ENSMUSG00000015243/ENSMUSG00000029752/ENSMUSG00000029370/ENSMUSG00000055044/ENSMUSG00000031328/ENSMUSG00000020437/ENSMUSG00000022174/ENSMUSG00000029192/ENSMUSG00000021477,C7
GSE9650_EFFECTOR_VS_MEMORY_CD8_TCELL_UP,13,13/590,199/17849,0.0852713659218324,16409/11501/17750/20304/19883/11658/16162/192187/12527/66890/27361/66177/68576,Itgam/Adam8/Mt2/Ccl5/Rora/Alcam/Il12rb2/Stab1/Cd9/Lman2/Msrb1/Ubl5/Lamtor5,ENSMUSG00000030786/ENSMUSG00000025473/ENSMUSG00000031762/ENSMUSG00000035042/ENSMUSG00000032238/ENSMUSG00000022636/ENSMUSG00000018341/ENSMUSG00000042286/ENSMUSG00000030342/ENSMUSG00000021484/ENSMUSG00000075705/ENSMUSG00000084786/ENSMUSG00000087260,C7
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN,13,13/590,200/17849,0.0852713659218324,67865/67053/11305/244668/16190/19921/17196/20926/217684/14470/67248/20084/20623,Rgs10/Rpp14/Abca2/Sipa1l2/Il4ra/Rpl19/Mbp/Supt6/Susd6/Rabac1/Rpl39/Rps18/Snrk,ENSMUSG00000030844/ENSMUSG00000023156/ENSMUSG00000026944/ENSMUSG00000001995/ENSMUSG00000030748/ENSMUSG00000017404/ENSMUSG00000041607/ENSMUSG00000002052/ENSMUSG00000021133/ENSMUSG00000003380/ENSMUSG00000079641/ENSMUSG00000008668/ENSMUSG00000038145,C7
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,13,13/590,200/17849,0.0852713659218324,78323/228765/68936/13819/238377/223701/277463/23943/171212/54721/338366/16561/12028,Fam219b/Sdcbp2/Smim11/Epas1/Gpr68/Mrtfa/Gpr107/Esyt1/Galnt10/Tyk2/Mia3/Kif1b/Bax,ENSMUSG00000032305/ENSMUSG00000027456/ENSMUSG00000051989/ENSMUSG00000024140/ENSMUSG00000047415/ENSMUSG00000042292/ENSMUSG00000000194/ENSMUSG00000025366/ENSMUSG00000020520/ENSMUSG00000032175/ENSMUSG00000056050/ENSMUSG00000063077/ENSMUSG00000003873,C7
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_DN,13,13/590,200/17849,0.0852713659218324,15567/268752/215632/545378/52123/66454/545030/56455/75617/110954/54721/54709/69833,Slc6a4/Wdfy2/Psd4/Sh2d1b2/Agpat5/Nmnat1/Wdfy4/Dynll1/Rps25/Rpl10/Tyk2/Eif3i/Polr2f,ENSMUSG00000020838/ENSMUSG00000014547/ENSMUSG00000026979/ENSMUSG00000073494/ENSMUSG00000031467/ENSMUSG00000028992/ENSMUSG00000051506/ENSMUSG00000009013/ENSMUSG00000009927/ENSMUSG00000008682/ENSMUSG00000032175/ENSMUSG00000028798/ENSMUSG00000033020,C7
GSE14308_TH1_VS_TH17_DN,13,13/590,200/17849,0.0852713659218324,268752/20910/74229/27226/101706/192187/16330/320727/68606/16332/66085/338366/170822,Wdfy2/Stxbp1/Paqr8/Pla2g7/Numa1/Stab1/Inpp5b/Ipo8/Ppm1f/Inppl1/Eif3f/Mia3/Usp33,ENSMUSG00000014547/ENSMUSG00000026797/ENSMUSG00000025931/ENSMUSG00000023913/ENSMUSG00000066306/ENSMUSG00000042286/ENSMUSG00000028894/ENSMUSG00000040029/ENSMUSG00000026181/ENSMUSG00000032737/ENSMUSG00000031029/ENSMUSG00000056050/ENSMUSG00000025437,C7
GSE15330_HSC_VS_PRO_BCELL_DN,13,13/590,200/17849,0.0852713659218324,210992/218793/18751/16177/29806/67092/192187/23943/17979/16190/216001/99138/68576,Lpcat1/Ube2e2/Prkcb/Il1r1/Limd1/Gatm/Stab1/Esyt1/Ncoa3/Il4ra/Micu1/Stard7/Lamtor5,ENSMUSG00000021608/ENSMUSG00000058317/ENSMUSG00000052889/ENSMUSG00000026072/ENSMUSG00000025239/ENSMUSG00000027199/ENSMUSG00000042286/ENSMUSG00000025366/ENSMUSG00000027678/ENSMUSG00000030748/ENSMUSG00000020111/ENSMUSG00000027367/ENSMUSG00000087260,C7
GSE15330_MEGAKARYOCYTE_ERYTHROID_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN,13,13/590,200/17849,0.0852713659218324,140493/53614/17132/16177/18378/17913/192187/23943/102058/246177/17909/14470/20740,Kcnn3/Reck/Maf/Il1r1/Omp/Myo1c/Stab1/Esyt1/Exoc8/Myo1g/Myo10/Rabac1/Sptan1,ENSMUSG00000000794/ENSMUSG00000028476/ENSMUSG00000055435/ENSMUSG00000026072/ENSMUSG00000074006/ENSMUSG00000017774/ENSMUSG00000042286/ENSMUSG00000025366/ENSMUSG00000074030/ENSMUSG00000020437/ENSMUSG00000022272/ENSMUSG00000003380/ENSMUSG00000057738,C7
GSE16450_CTRL_VS_IFNA_12H_STIM_MATURE_NEURON_CELL_LINE_DN,13,13/590,200/17849,0.0852713659218324,319939/104759/27226/17748/74748/11816/56455/66401/246256/114601/13001/71472/17250,Tns3/Pld4/Pla2g7/Mt1/Slamf8/Apoe/Dynll1/Nudt2/Fcgr4/Ehbp1l1/Csnk2b/Usp19/Abcc1,ENSMUSG00000020422/ENSMUSG00000052160/ENSMUSG00000023913/ENSMUSG00000031765/ENSMUSG00000053318/ENSMUSG00000002985/ENSMUSG00000009013/ENSMUSG00000028443/ENSMUSG00000059089/ENSMUSG00000024937/ENSMUSG00000024387/ENSMUSG00000006676/ENSMUSG00000023088,C7
GSE17186_BLOOD_VS_CORD_BLOOD_CD21HIGH_TRANSITIONAL_BCELL_UP,13,13/590,200/17849,0.0852713659218324,210992/72333/114128/17179/360013/22151/105855/67299/404710/12925/54616/18129/20641,Lpcat1/Palld/Laptm4b/Matk/Myo18a/Tubb2a/Nckap1l/Dock7/Iqgap3/Crip1/Extl3/Notch2/Snrpd1,ENSMUSG00000021608/ENSMUSG00000058056/ENSMUSG00000022257/ENSMUSG00000004933/ENSMUSG00000000631/ENSMUSG00000058672/ENSMUSG00000022488/ENSMUSG00000028556/ENSMUSG00000028068/ENSMUSG00000006360/ENSMUSG00000021978/ENSMUSG00000027878/ENSMUSG00000002477,C7
GSE17721_0.5H_VS_24H_PAM3CSK4_BMDC_UP,13,13/590,200/17849,0.0852713659218324,16004/114128/50934/79566/230233/12334/114601/225845/18813/20193/66521/15040/76933,Igf2r/Laptm4b/Slc7a8/Sh3bp5l/Elp1/Capn2/Ehbp1l1/Plaat3/Pa2g4/S100a1/Rwdd1/H2-T23/Ifi27l2a,ENSMUSG00000023830/ENSMUSG00000022257/ENSMUSG00000022180/ENSMUSG00000013646/ENSMUSG00000028431/ENSMUSG00000026509/ENSMUSG00000024937/ENSMUSG00000060675/ENSMUSG00000025364/ENSMUSG00000044080/ENSMUSG00000019782/ENSMUSG00000067212/ENSMUSG00000079017,C7
GSE17721_12H_VS_24H_PAM3CSK4_BMDC_DN,13,13/590,200/17849,0.0852713659218324,12273/16570/54427/18751/545378/66971/68732/140570/18518/64652/12568/17196/20623,C5ar1/Kif3c/Dnmt3l/Prkcb/Sh2d1b2/Cdk5rap1/Carmil1/Plxnb2/Igbp1/Nisch/Cdk5/Mbp/Snrk,ENSMUSG00000049130/ENSMUSG00000020668/ENSMUSG00000000730/ENSMUSG00000052889/ENSMUSG00000073494/ENSMUSG00000027487/ENSMUSG00000021338/ENSMUSG00000036606/ENSMUSG00000031221/ENSMUSG00000021910/ENSMUSG00000028969/ENSMUSG00000041607/ENSMUSG00000038145,C7
GSE17721_ALL_VS_24H_PAM3CSK4_BMDC_DN,13,13/590,200/17849,0.0852713659218324,76267/229521/20568/15001/21810/18751/66971/52123/76969/66889/17222/66431/16561,Fads1/Syt11/Slpi/H2-Oa/Tgfbi/Prkcb/Cdk5rap1/Agpat5/Chst1/Rnf128/Anapc1/Oxld1/Kif1b,ENSMUSG00000010663/ENSMUSG00000068923/ENSMUSG00000017002/ENSMUSG00000024334/ENSMUSG00000035493/ENSMUSG00000052889/ENSMUSG00000027487/ENSMUSG00000031467/ENSMUSG00000027221/ENSMUSG00000031438/ENSMUSG00000014355/ENSMUSG00000039670/ENSMUSG00000063077,C7
GSE17721_CPG_VS_GARDIQUIMOD_8H_BMDC_UP,13,13/590,200/17849,0.0852713659218324,12273/27053/11658/11810/66454/20591/235567/18518/75617/246256/11911/18813/231889,C5ar1/Asns/Alcam/Apobec1/Nmnat1/Kdm5c/Dnajc13/Igbp1/Rps25/Fcgr4/Atf4/Pa2g4/Bud31,ENSMUSG00000049130/ENSMUSG00000029752/ENSMUSG00000022636/ENSMUSG00000040613/ENSMUSG00000028992/ENSMUSG00000025332/ENSMUSG00000032560/ENSMUSG00000031221/ENSMUSG00000009927/ENSMUSG00000059089/ENSMUSG00000042406/ENSMUSG00000025364/ENSMUSG00000038722,C7
GSE17721_CTRL_VS_CPG_2H_BMDC_UP,13,13/590,200/17849,0.0852713659218324,105522/13819/16534/79566/233276/217664/53890/66154/11428/104401/20933/68479/27368,Ankrd28/Epas1/Kcnn4/Sh3bp5l/Tubgcp5/Mgat2/Sart3/Tmem14c/Aco1/Pcnx3/Med22/Phf5a/Tbl2,ENSMUSG00000014496/ENSMUSG00000024140/ENSMUSG00000054342/ENSMUSG00000013646/ENSMUSG00000033790/ENSMUSG00000043998/ENSMUSG00000018974/ENSMUSG00000021361/ENSMUSG00000028405/ENSMUSG00000054874/ENSMUSG00000015776/ENSMUSG00000061360/ENSMUSG00000005374,C7
GSE17721_LPS_VS_POLYIC_16H_BMDC_DN,13,13/590,200/17849,0.0852713659218324,60504/12774/54610/66222/50934/13038/16162/229473/110253/17909/19303/68507/20623,Il21r/Ccr5/Tbc1d8/Serpinb1a/Slc7a8/Ctsk/Il12rb2/Tmem131l/Triobp/Myo10/Pxn/Ppfia4/Snrk,ENSMUSG00000030745/ENSMUSG00000079227/ENSMUSG00000003134/ENSMUSG00000044734/ENSMUSG00000022180/ENSMUSG00000028111/ENSMUSG00000018341/ENSMUSG00000033767/ENSMUSG00000033088/ENSMUSG00000022272/ENSMUSG00000029528/ENSMUSG00000026458/ENSMUSG00000038145,C7
